./exvr_fetcher exvr_fetcher.cfg
Log_Util::load_log_masks(): All Modules: ods_utils, vrspider, platform, ods_utils_util
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] FetchTaskNum: 8
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] MysqlHandleNum: 1
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] OnlineTaskNum: 3
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] UrlupdateTaskNum: 8
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] WriteTaskNum: 6
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] updateDeleteNum: 6
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] load UrlTransformServers is ok: 10.12.141.66:9096
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open ]load vr_resource configiguration: 10.139.22.134 root root open_data
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open]load vr_info configiguration: 10.139.22.134 root root ubs_spider
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open]load cr_info configiguration: 10.139.22.134 root root external
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] cycy spider_type:5 res_priority:0
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open ]load ValidateCount configiguration: data/base/schemaFileXX.xsd data/base/lengthFileX
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [load_location] list data/location.dat begin
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒ൺ 370200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒Ͳ▒ 370300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒ׯ 370400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒Ӫ 370500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒̨ 370600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ Ϋ▒▒ 370700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒▒ 370800
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ̩▒▒ 370900
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒▒ 371000
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒▒ 371100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒ 371200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒▒ 371300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒▒ 371400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒ĳ▒ 371500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒▒ 371600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒▒ 371700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ 410000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ ֣▒▒ 410100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 410200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 410300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ƽ▒▒ɽ 410400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 410500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒ױ▒ 410600
